Tm,Tgt_20,Rec_20,Ctch%_20,Yds_20,TD_20,%Tgt_20,Tgt_10,Rec_10,Ctch%_10,Yds_10,TD_10,%Tgt_10,Highlights,Player,Year
NE,22,16,72.73%,117,7,27.2%,9,4,44.44%,23,4,25.0%,All James White red zone receiving plays,James White,2018
NE,20,14,70.00%,106,4,24.7%,11,6,54.55%,28,3,30.6%,All Julian Edelman red zone receiving plays,Julian Edelman,2018
MIN,20,15,75.00%,90,6,30.3%,8,5,62.50%,17,4,27.6%,All Adam Thielen red zone receiving plays,Adam Thielen,2018
PIT,19,9,47.37%,55,5,22.9%,8,4,50.00%,19,4,22.2%,All Antonio Brown red zone receiving plays,Antonio Brown,2018
LAR,19,9,47.37%,78,3,21.3%,8,2,25.00%,16,1,17.8%,All Todd Gurley red zone receiving plays,Todd Gurley,2018
NYG,19,9,47.37%,35,4,24.7%,8,5,62.50%,17,4,23.5%,All Sterling Shepard red zone receiving plays,Sterling Shepard,2018
NYG,18,6,33.33%,34,4,23.4%,8,4,50.00%,20,4,23.5%,All Odell Beckham red zone receiving plays,Odell Beckham,2018
IND,18,10,55.56%,106,10,20.5%,6,4,66.67%,22,4,14.0%,All Eric Ebron red zone receiving plays,Eric Ebron,2018
SF,18,9,50.00%,67,2,26.1%,8,3,37.50%,22,2,27.6%,All George Kittle red zone receiving plays,George Kittle,2018
CLE,18,9,50.00%,63,2,33.3%,7,4,57.14%,13,1,30.4%,All Jarvis Landry red zone receiving plays,Jarvis Landry,2018
MIN,17,12,70.59%,58,6,25.8%,8,6,75.00%,18,5,27.6%,All Stefon Diggs red zone receiving plays,Stefon Diggs,2018
ATL,17,10,58.82%,100,5,24.3%,7,3,42.86%,3,2,18.4%,All Julio Jones red zone receiving plays,Julio Jones,2018
DAL,16,11,68.75%,64,2,23.9%,6,4,66.67%,18,1,20.0%,All Ezekiel Elliott red zone receiving plays,Ezekiel Elliott,2018
TB,16,6,37.50%,62,6,20.0%,11,4,36.36%,30,4,31.4%,All Chris Godwin red zone receiving plays,Chris Godwin,2018
LAR,15,13,86.67%,91,4,16.9%,8,6,75.00%,21,2,17.8%,All Brandin Cooks red zone receiving plays,Brandin Cooks,2018
TEN,15,6,40.00%,47,2,30.0%,9,2,22.22%,11,1,36.0%,All Corey Davis red zone receiving plays,Corey Davis,2018
DET,15,5,33.33%,38,4,21.7%,6,3,50.00%,14,3,21.4%,All Kenny Golladay red zone receiving plays,Kenny Golladay,2018
BUF,15,7,46.67%,79,4,40.5%,4,2,50.00%,12,1,36.4%,All Zay Jones red zone receiving plays,Zay Jones,2018
