Player,Tm,Age,Att_rush,Tgt,TD_rush,TD_rec,Team_Yds,Team_Tgt,VBD,PPR,Year
Jamycal Hasty,JAX,26,46,26,2,1,5924,563,0,70.0,2022
Rashaad Penny,SEA,26,57,5,2,0,6326,547,0,52.2,2022
Zonovan Knight,NYJ,21,85,14,1,0,5622,584,0,59.0,2022
Caleb Huntley,ATL,24,76,2,1,0,5645,400,0,44.9,2022
Elijah Mitchell,SF,24,45,4,2,0,5161,426,0,43.6,2022
Boston Scott,PHI,27,54,6,3,0,6873,505,0,46.2,2022
Matt Breida,NYG,27,54,25,1,0,5930,419,0,59.8,2022
Rex Burkhead,HOU,32,26,51,0,1,5107,528,0,77.4,2022
Justin Jackson,DET,26,42,19,1,1,6562,519,0,51.1,2022
Kyle Juszczyk,SF,31,7,23,1,1,5161,426,0,53.6,2022
Mark Ingram,NO,33,62,18,1,0,5873,487,0,50.1,2022
Raheem Blackshear,CAR,23,23,12,3,0,3696,357,0,43.0,2022
Jordan Mason,SF,23,43,0,1,0,5161,426,0,31.8,2022
Ty Johnson,NYJ,25,30,24,1,0,5622,584,0,42.8,2022
Justice Hill,BAL,25,49,12,0,0,5921,460,0,42.0,2022
Marlon Mack,2TM,26,16,10,1,1,6488,741,0,38.3,2022
Ameer Abdullah,LV,29,4,32,0,1,6244,558,0,54.1,2022
DeeJay Dallas,SEA,24,35,19,0,0,6326,547,0,46.2,2022
J.D. McKissic,WAS,29,22,40,0,0,5926,531,0,55.8,2022
Dare Ogunbowale,HOU,28,42,26,1,0,5107,528,0,48.7,2022
Malik Davis,DAL,24,38,7,1,0,6209,545,0,34.4,2022
Travis Homer,SEA,24,19,18,0,1,6326,547,0,43.1,2022
Javonte Williams,DEN,22,47,22,0,0,5030,484,0,42.0,2022
Gary Brightwell,NYG,23,31,8,1,0,5930,419,0,29.0,2022
Alec Ingold,MIA,26,6,23,1,1,5939,521,0,38.3,2022
Craig Reynolds,DET,26,23,10,0,0,6562,519,0,30.8,2022
Kyren Williams,LAR,22,35,12,0,0,4262,516,0,30.5,2022
C.J. Ham,MIN,29,4,12,2,0,6466,555,0,31.3,2022
Avery Williams,ATL,24,22,14,1,0,5645,400,0,34.0,2022
Mike Boone,DEN,27,24,15,0,0,5030,484,0,28.8,2022
Pierre Strong,NE,24,10,7,1,0,5627,514,0,27.2,2022
Tevin Coleman,SF,29,12,3,1,1,5161,426,0,22.0,2022
Jonathan Williams,WAS,28,37,10,0,0,5926,531,0,26.2,2022
Brandon Bolden,LV,32,17,9,0,1,6244,558,0,27.3,2022
Malcolm Brown,LAR,29,18,6,1,0,4262,516,0,22.8,2022
Corey Clement,ARI,28,15,7,1,0,5536,579,0,21.9,2022
Benny Snell Jr.,PIT,24,20,2,1,0,5674,498,0,18.7,2022
Darrel Williams,ARI,27,21,8,1,0,5536,579,0,21.1,2022
Sony Michel,LAC,27,36,13,0,0,6315,687,0,24.9,2022
Hassan Haskins,TEN,23,25,12,0,0,5333,428,0,26.0,2022
Ronald Jones II,KC,25,17,1,1,0,7161,597,0,16.2,2022
Derek Watt,PIT,30,9,5,1,1,5674,498,0,20.2,2022
Zander Horvath,LAC,24,4,8,0,2,6315,687,0,18.6,2022
Keaontay Ingram,ARI,23,27,5,1,0,5536,579,0,18.1,2022
Salvon Ahmed,MIA,24,12,1,1,0,5939,521,0,14.2,2022
Royce Freeman,HOU,26,41,8,0,0,5107,528,0,19.0,2022
Reggie Gilliam,BUF,25,0,10,0,1,6435,526,0,20.9,2022
Chris Myarick,NYG,27,0,8,0,1,5930,419,0,19.5,2022
Kevin Harris,NE,22,18,0,1,0,5627,514,0,11.2,2022
Snoop Conner,JAX,22,12,0,1,0,5924,563,0,10.2,2022
Tyrion Davis-Price,SF,22,34,2,0,0,5161,426,0,9.9,2022
Chris Evans,CIN,25,0,4,0,1,6048,594,0,12.8,2022
Darrynton Evans,CHI,24,14,1,0,0,5609,326,0,10.7,2022
Kene Nwangwu,MIN,24,9,2,0,0,6466,555,0,11.5,2022
Giovanni Ricci,CAR,26,0,9,0,0,3696,357,0,18.0,2022
Phillip Lindsay,IND,28,15,8,0,0,5319,546,0,14.8,2022
Patrick Ricard,BAL,28,7,13,0,0,5921,460,0,20.0,2022
Jordan Wilkins,IND,28,13,8,0,0,5319,546,0,14.7,2022
Tyler Badie,DEN,22,1,1,0,1,5030,484,0,9.4,2022
Jaret Patterson,WAS,23,17,1,0,0,5926,531,0,7.8,2022
Ke'Shawn Vaughn,TB,25,17,4,0,0,6052,717,0,10.2,2022
Zamir White,LV,23,17,0,0,0,6244,558,0,7.0,2022
Trayveon Williams,CIN,25,6,3,0,0,6048,594,0,8.0,2022
Spencer Brown,CAR,24,9,4,0,0,3696,357,0,7.3,2022
Julius Chestnut,TEN,22,9,3,0,0,5333,428,0,8.3,2022
Myles Gaskin,MIA,25,10,6,0,0,5939,521,0,9.4,2022
David Johnson,NO,31,12,4,0,0,5873,487,0,9.1,2022
Tony Jones,2TM,25,10,8,0,0,6488,741,0,10.4,2022
Ronnie Rivers,LAR,23,9,5,0,0,4262,516,0,10.0,2022
Isaiah Spiller,LAC,21,18,3,0,0,6315,687,0,8.4,2022
Patrick Taylor,GB,24,10,1,0,0,6003,509,0,5.8,2022
Dwayne Washington,NO,28,11,1,0,0,5873,487,0,5.5,2022
Trestan Ebner,CHI,23,24,8,0,0,5609,326,0,6.2,2022
Anthony McFarland Jr.,PIT,23,6,2,0,0,5674,498,0,6.1,2022
Giovani Bernard,TB,31,8,2,0,0,6052,717,0,4.7,2022
Larry Rountree,LAC,23,13,2,0,0,6315,687,0,5.3,2022
Jonathan Ward,2TM,25,5,3,0,0,6488,741,0,5.2,2022
Michael Burton,KC,30,5,3,0,0,7161,597,0,3.8,2022
Ty Chandler,MIN,24,6,0,0,0,6466,555,0,2.0,2022
Mike Davis,BAL,29,8,2,0,0,5921,460,0,4.2,2022
Troy Hairston,HOU,24,0,8,0,0,5107,528,0,6.9,2022
D'Ernest Johnson,CLE,26,4,3,0,0,6200,495,0,5.4,2022
Adam Prentice,NO,25,4,3,0,0,5873,487,0,4.8,2022
Trey Sermon,PHI,23,2,0,0,0,6873,505,0,1.9,2022
J.J. Taylor,NE,24,10,1,0,0,5627,514,0,2.7,2022
Reggie Bonnafon,WAS,26,3,0,0,0,5926,531,0,0.8,2022
Jason Cabinda,DET,26,1,4,0,0,6562,519,0,1.9,2022
Jerome Ford,CLE,23,8,0,0,0,6200,495,0,1.2,2022
Kylin Hill,GB,24,1,0,0,0,6003,509,0,0.7,2022
Godwin Igwebuike,SEA,28,3,1,0,0,6326,547,0,1.7,2022
Jakob Johnson,LV,28,0,6,0,0,6244,558,0,6.0,2022
Devine Ozigbo,DEN,26,3,1,0,0,5030,484,0,1.7,2022
Keith Smith,ATL,30,1,2,0,0,5645,400,0,2.0,2022
Ty'Son Williams,ARI,26,0,1,0,0,5536,579,0,1.5,2022
Nick Bellore,SEA,33,1,0,0,0,6326,547,0,0.3,2022
Demetric Felton,CLE,24,1,4,0,0,6200,495,0,2.4,2022
Jordan Howard,NO,28,1,0,0,0,5873,487,0,0.1,2022
Duke Johnson,BUF,29,2,0,0,0,6435,526,0,0.4,2022
Damien Williams,ATL,30,2,0,0,0,5645,400,0,0.2,2022
